"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","RPI_Rank","RPI_Value","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Marquette",7,80,11.43,7,88,12.57,7,96,96,192,0.5,7,4,19,0.211,7,7,20,0.65,3,4,0.429,7,80,88,-1.14,7,41,5.86,7,76,10.86,7,80,41,121,17.29,7,198,28.29,7,94,13.43,7,46,6.57,7,80,276,0.29,7,141,155,0.91,2026,2026-03-21,69,85,0.4481,NA,NA,29,NA,"Big East",8,0.686,11.22,-7.6,29,0.68,-3.35,-1.7,-2.29,-0.1833,12,54,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Maryland",6,74,12.33,6,65,10.83,6,100,61,161,0.621,6,2,12,0.167,6,1,12,0.917,3,3,0.5,6,74,65,1.5,6,42,7,6,66,11,6,74,42,116,19.33,6,167,27.83,6,92,15.33,6,39,6.5,6,74,222,0.333,6,110,121,0.909,2026,2026-03-21,64,63,0.5039,11,11,20,NA,"Big Ten",6,2.077,8.45,-9.99,16,1.35,2.52,4.72,3.61,0.4636,11.58,18,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Massachusetts",9,98,10.89,9,73,8.11,9,62,134,196,0.316,9,9,24,0.375,9,9,26,0.654,7,2,0.778,9,98,73,2.78,9,55,6.11,9,118,13.11,9,98,55,153,17,9,189,21,9,98,10.89,9,67,7.44,9,98,294,0.333,9,166,184,0.902,2026,2026-03-21,114,72,0.6129,NA,NA,30,NA,"MAC",10,-0.987,9.1,-6.7,52,5.63,4.77,-5.46,4.07,0.4473,9.5,15,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Mercer",8,90,11.25,8,111,13.88,8,116,114,230,0.504,8,3,19,0.158,8,8,12,0.333,4,4,0.5,8,90,111,-2.62,8,40,5,8,90,11.25,8,90,40,130,16.25,8,232,29,8,136,17,8,56,7,8,90,351,0.256,8,150,176,0.852,2026,2026-03-21,78,101,0.4358,NA,NA,41,NA,"Southern",8,-1.25,9.1,-13.04,55,-3.66,-8.85,-3.16,-8.29,-0.912,12.57,71,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Merrimack",8,72,9,8,110,13.75,8,105,104,209,0.502,8,7,20,0.35,8,9,22,0.591,1,7,0.125,8,72,110,-4.75,8,43,5.38,8,103,12.88,8,72,43,115,14.38,8,196,24.5,8,147,18.38,8,45,5.62,8,72,283,0.254,8,125,168,0.744,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,53,NA,"MAAC",9,0.726,11.22,-6.9,28,-5.74,-6.52,-4.59,-6.68,-0.3947,11.38,68,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Michigan",8,93,11.62,8,84,10.5,8,108,97,205,0.527,8,8,20,0.4,8,9,26,0.654,3,5,0.375,8,93,84,1.12,8,59,7.38,8,87,10.88,8,93,59,152,19,8,225,28.12,8,129,16.12,8,61,7.62,8,93,307,0.303,8,142,163,0.871,2026,2026-03-21,84,81,0.5091,NA,NA,39,NA,"Big Ten",9,2.797,8.45,-5.92,8,1.6,0.78,0.53,2.02,0.4636,11.06,23,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Monmouth",7,73,10.43,7,60,8.57,7,91,65,156,0.583,7,3,15,0.2,7,5,18,0.722,3,4,0.429,7,73,60,1.86,7,39,5.57,7,74,10.57,7,73,39,112,16,7,178,25.43,7,99,14.14,7,49,7,7,73,273,0.267,7,123,152,0.809,2026,2026-03-21,70,52,0.5738,NA,NA,57,NA,"CAA",8,-2.635,4.4,-6.9,67,-2.49,4.5,2.54,0.99,-0.476,9.5,32,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Mount St. Mary's",7,57,8.14,7,97,13.86,7,76,98,174,0.437,7,4,18,0.222,7,11,21,0.476,1,6,0.143,7,57,97,-5.71,7,39,5.57,7,92,13.14,7,57,39,96,13.71,7,190,27.14,7,94,13.43,7,48,6.86,7,57,232,0.246,7,125,150,0.833,2026,2026-03-21,92,97,0.4868,NA,NA,60,NA,"MAAC",8,-0.056,4.4,-6.7,39,-5.44,-7.32,-4.96,-7.08,-0.3947,11,70,"v3","Defense Heavy (30/50/20)","2026-03-21"
"NJIT",8,87,10.88,8,79,9.88,8,100,88,188,0.532,8,5,16,0.312,8,8,18,0.556,3,5,0.375,8,87,79,1,8,48,6,8,101,12.62,8,87,48,135,16.88,8,216,27,8,126,15.75,8,57,7.12,8,87,301,0.289,8,155,184,0.842,2026,2026-03-21,101,79,0.5611,NA,NA,56,NA,"America East",8,-0.266,6.34,-13.04,42,-1.13,0.5,1.51,-0.13,-0.1489,10.38,40,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Navy",8,102,12.75,8,92,11.5,8,128,95,223,0.574,8,9,23,0.391,8,6,19,0.684,5,3,0.625,8,102,92,1.25,8,57,7.12,8,74,9.25,8,102,57,159,19.88,8,265,33.12,8,135,16.88,8,60,7.5,8,102,342,0.298,8,158,173,0.913,2026,2026-03-21,65,78,0.4545,NA,NA,22,NA,"Patriot League",9,0.976,6.34,-9.02,26,2.91,-0.66,3.13,1.38,0.1578,12.12,29,"v3","Defense Heavy (30/50/20)","2026-03-21"
"North Carolina",8,120,15,8,70,8.75,8,143,76,219,0.653,8,11,24,0.458,8,8,22,0.636,7,1,0.875,8,120,70,6.25,8,61,7.62,8,71,8.88,8,120,61,181,22.62,8,304,38,8,117,14.62,8,54,6.75,8,120,408,0.294,8,156,176,0.886,2026,2026-03-21,58,63,0.4793,2,5,9,NA,"ACC",8,0.274,6.34,-9.02,35,8.2,3.12,8.11,7.3,0.8544,11.88,6,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Notre Dame",6,89,14.83,6,50,8.33,6,88,71,159,0.553,6,8,14,0.571,6,7,13,0.462,6,0,1,6,89,50,6.5,6,53,8.83,6,60,10,6,89,53,142,23.67,6,191,31.83,6,80,13.33,6,62,10.33,6,89,252,0.353,6,127,139,0.914,2026,2026-03-21,56,44,0.56,1,1,3,NA,"ACC",6,1.133,8.4,-3.97,23,9.63,3.79,5.74,7.61,0.8544,11.58,5,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Ohio St.",8,98,12.25,8,52,6.5,8,112,69,181,0.619,8,12,22,0.545,8,4,15,0.733,7,1,0.875,8,98,52,5.75,8,56,7,8,75,9.38,8,98,56,154,19.25,8,281,35.12,8,130,16.25,8,75,9.38,8,98,328,0.299,8,176,192,0.917,2026,2026-03-21,69,48,0.5897,9,7,15,NA,"Big Ten",9,-1.153,8.45,-8.51,54,4.12,9.4,10.57,8.97,0.4636,9.38,4,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Penn",7,74,10.57,7,66,9.43,7,103,60,163,0.632,7,5,15,0.333,7,8,23,0.652,3,4,0.429,7,74,66,1.14,7,37,5.29,7,78,11.14,7,74,37,111,15.86,7,192,27.43,7,107,15.29,7,42,6,7,74,291,0.254,7,118,135,0.874,2026,2026-03-21,78,66,0.5417,19,19,26,NA,"Ivy League",8,0.676,7.83,-9.99,30,-2.59,1.74,5.52,1.57,0.1595,10,28,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Penn St.",7,99,14.14,7,71,10.14,7,118,77,195,0.605,7,5,8,0.625,7,7,10,0.3,4,3,0.571,7,99,71,4,7,61,8.71,7,59,8.43,7,99,61,160,22.86,7,255,36.43,7,133,19,7,75,10.71,7,99,260,0.381,7,142,174,0.816,2026,2026-03-21,52,60,0.4643,15,9,17,NA,"Big Ten",7,0.991,7.83,-2.82,25,4.68,-0.88,3.48,2.53,0.4636,12.14,20,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Princeton",6,73,12.17,6,60,10,6,78,77,155,0.503,6,1,6,0.167,6,5,11,0.545,5,1,0.833,6,73,60,2.17,6,44,7.33,6,81,13.5,6,73,44,117,19.5,6,188,31.33,6,81,13.5,6,52,8.67,6,73,224,0.326,6,120,136,0.882,2026,2026-03-21,80,57,0.5839,10,3,1,NA,"Ivy League",7,3.629,7.83,-2.82,3,1.57,0.98,3.76,1.99,0.1595,11.09,25,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Providence",9,91,10.11,9,95,10.56,9,104,111,215,0.484,9,9,37,0.243,9,7,15,0.533,4,5,0.444,9,91,95,-0.44,9,59,6.56,9,119,13.22,9,91,59,150,16.67,9,234,26,9,163,18.11,9,63,7,9,91,345,0.264,9,161,196,0.821,2026,2026-03-21,108,88,0.551,NA,NA,42,NA,"Big East",10,-0.902,12.91,-8.51,50,-2.74,-0.98,-1.54,-1.95,-0.1833,10.34,52,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Queens (NC)",7,72,10.29,7,73,10.43,7,73,99,172,0.424,7,8,19,0.421,7,6,35,0.829,3,4,0.429,7,72,73,-0.14,7,43,6.14,7,69,9.86,7,72,43,115,16.43,7,186,26.57,7,105,15,7,50,7.14,7,72,224,0.321,7,125,145,0.862,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,65,NA,"Atlantic Sun",8,-4.253,4.4,-13.04,76,1.22,2.57,-3.93,1.29,0.1419,10.36,30,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Quinnipiac",8,68,8.5,8,116,14.5,8,83,128,211,0.393,8,9,17,0.529,8,12,28,0.571,1,7,0.125,8,68,116,-6,8,32,4,8,96,12,8,68,32,100,12.5,8,217,27.12,8,126,15.75,8,81,10.12,8,68,277,0.245,8,142,166,0.855,2026,2026-03-21,55,89,0.3819,NA,NA,75,NA,"MAAC",8,-1.415,3.9,-4.13,56,-4.1,-5.67,-9.92,-6.76,-0.3947,11.5,69,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Richmond",7,105,15,7,53,7.57,7,92,90,182,0.505,7,6,13,0.462,7,2,12,0.833,7,0,1,7,105,53,7.43,7,59,8.43,7,75,10.71,7,105,59,164,23.43,7,239,34.14,7,84,12,7,76,10.86,7,105,317,0.331,7,144,158,0.911,2026,2026-03-21,74,51,0.592,4,2,6,NA,"Atlantic 10",8,-0.71,5.55,-9.99,47,8.93,9.45,5.84,9.1,0.3149,11.29,3,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Robert Morris",9,88,9.78,9,99,11,9,100,117,217,0.461,9,10,30,0.333,9,15,33,0.545,6,3,0.667,9,88,99,-1.22,9,53,5.89,9,111,12.33,9,88,53,141,15.67,9,325,36.11,9,165,18.33,9,70,7.78,9,88,306,0.288,9,184,220,0.836,2026,2026-03-21,98,90,0.5213,NA,NA,24,NA,"NEC",10,-0.884,9.1,-5.92,49,-1.93,-1.19,0.48,-1.01,0.0164,10.39,46,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Rutgers",9,115,12.78,9,84,9.33,9,121,108,229,0.528,9,5,12,0.417,9,4,17,0.765,7,2,0.778,9,115,84,3.44,9,63,7,9,100,11.11,9,115,63,178,19.78,9,294,32.67,9,152,16.89,9,86,9.56,9,115,399,0.288,9,180,204,0.882,2026,2026-03-21,90,77,0.5389,14,17,14,NA,"Big Ten",10,1.16,8.4,-5.07,22,0.65,5.01,3.55,4.5,0.4636,11.05,12,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Sacred Heart",7,101,14.43,7,75,10.71,7,107,86,193,0.554,7,5,18,0.278,7,2,12,0.833,7,0,1,7,101,75,3.71,7,60,8.57,7,99,14.14,7,101,60,161,23,7,231,33,7,113,16.14,7,46,6.57,7,101,326,0.31,7,148,165,0.897,2026,2026-03-21,98,74,0.5698,NA,NA,18,NA,"MAAC",8,-2.536,0.34,-6.9,66,4.2,1.84,6.14,2.26,-0.3947,12.57,21,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Saint Joseph's",6,65,10.83,6,65,10.83,6,72,78,150,0.48,6,4,19,0.211,6,8,21,0.619,4,2,0.667,6,65,65,0,6,40,6.67,6,51,8.5,6,65,40,105,17.5,6,183,30.5,6,85,14.17,6,57,9.5,6,65,233,0.279,6,108,122,0.885,2026,2026-03-21,48,59,0.4486,NA,NA,11,NA,"Atlantic 10",7,2.393,12.91,-1.64,11,-1.03,0.81,-2.26,0.48,0.3149,10.83,34,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Siena",7,91,13,7,78,11.14,7,102,87,189,0.54,7,11,25,0.44,7,10,19,0.474,5,2,0.714,7,91,78,1.86,7,51,7.29,7,78,11.14,7,91,51,142,20.29,7,242,34.57,7,141,20.14,7,66,9.43,7,91,288,0.316,7,146,185,0.789,2026,2026-03-21,76,78,0.4935,NA,NA,47,NA,"MAAC",8,-2.771,4.85,-8.51,69,2.79,-1.35,0.76,-0.74,-0.3947,12.07,44,"v3","Defense Heavy (30/50/20)","2026-03-21"
"St. Bonaventure",9,84,9.33,9,107,11.89,9,123,100,223,0.552,9,7,29,0.241,9,5,18,0.722,4,5,0.444,9,84,107,-2.56,9,41,4.56,9,96,10.67,9,84,41,125,13.89,9,284,31.56,9,171,19,9,80,8.89,9,84,355,0.237,9,169,211,0.801,2026,2026-03-21,92,94,0.4946,NA,NA,54,NA,"Atlantic 10",9,-1.51,2.03,-4.12,59,-6.35,-0.19,0.48,-0.99,0.3149,10.61,45,"v3","Defense Heavy (30/50/20)","2026-03-21"
"St. John's (NY)",8,81,10.12,8,98,12.25,8,94,114,208,0.452,8,10,23,0.435,8,4,20,0.8,2,6,0.25,8,81,98,-2.12,8,36,4.5,8,101,12.62,8,81,36,117,14.62,8,216,27,8,145,18.12,8,61,7.62,8,81,296,0.274,8,154,189,0.815,2026,2026-03-21,97,96,0.5026,NA,NA,71,NA,"BIG EAST",9,-2.899,4.13,-9.99,71,-1.86,-0.61,-4.3,-2.15,-0.2366,11.18,53,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Stony Brook",7,73,10.43,7,74,10.57,7,85,83,168,0.506,7,6,20,0.3,7,2,15,0.867,4,3,0.571,7,73,74,-0.14,7,36,5.14,7,81,11.57,7,73,36,109,15.57,7,200,28.57,7,103,14.71,7,39,5.57,7,73,286,0.255,7,135,156,0.865,2026,2026-03-21,81,72,0.5294,NA,NA,45,NA,"America East",8,-1.07,5.55,-9.02,53,-1.88,1.93,0.49,0.23,-0.1489,10.5,36,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Syracuse",9,114,12.67,9,80,8.89,9,124,99,223,0.556,9,13,30,0.433,9,9,32,0.719,7,2,0.778,9,114,80,3.78,9,66,7.33,9,108,12,9,114,66,180,20,9,274,30.44,9,115,12.78,9,66,7.33,9,114,368,0.31,9,160,185,0.865,2026,2026-03-21,105,80,0.5676,7,8,2,NA,"ACC",9,2.048,6.09,-8.51,17,7.83,4.09,4.44,7.05,0.8544,10.78,8,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Towson",7,91,13,7,80,11.43,7,104,95,199,0.523,7,9,21,0.429,7,6,20,0.7,4,3,0.571,7,91,80,1.57,7,49,7,7,93,13.29,7,91,49,140,20,7,245,35,7,126,18,7,49,7,7,91,288,0.316,7,125,162,0.772,2026,2026-03-21,93,80,0.5376,NA,20,31,NA,"CAA",8,0.493,5.55,-4.43,33,3.22,-0.63,1.47,-0.31,-0.476,12.21,43,"v3","Defense Heavy (30/50/20)","2026-03-21"
"UAlbany",7,81,11.57,7,83,11.86,7,88,98,186,0.473,7,10,18,0.556,7,5,14,0.643,3,4,0.429,7,81,83,-0.29,7,46,6.57,7,60,8.57,7,81,46,127,18.14,7,208,29.71,7,104,14.86,7,68,9.71,7,81,254,0.319,7,138,155,0.89,2026,2026-03-21,60,80,0.4286,NA,NA,49,NA,"America East",8,-0.37,3.9,-4.43,44,3.92,-0.58,-3.42,-0.2,-0.1489,11.71,42,"v3","Defense Heavy (30/50/20)","2026-03-21"
"UMBC",6,38,6.33,6,55,9.17,6,59,54,113,0.522,6,3,9,0.333,6,7,17,0.588,1,5,0.167,6,38,55,-2.83,6,25,4.17,6,44,7.33,6,38,25,63,10.5,6,135,22.5,6,76,12.67,6,38,6.33,6,38,199,0.191,6,90,102,0.882,2026,2026-03-21,44,55,0.4444,NA,NA,70,NA,"America East",7,-1.799,0.39,-6.9,61,-9.96,1.65,-3.75,-2.86,-0.1489,7.75,56,"v3","Defense Heavy (30/50/20)","2026-03-21"
"UMass Lowell",7,70,10,7,90,12.86,7,120,64,184,0.652,7,4,19,0.211,7,4,8,0.5,2,5,0.286,7,70,90,-2.86,7,36,5.14,7,86,12.29,7,70,36,106,15.14,7,199,28.43,7,120,17.14,7,36,5.14,7,70,265,0.264,7,109,131,0.832,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,73,NA,"America East",7,-0.928,3.9,-6.34,51,-4.64,-6.24,4.63,-4.01,-0.1489,11.43,61,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Utah",7,112,16,7,60,8.57,7,116,80,196,0.592,7,7,15,0.467,7,6,26,0.769,5,2,0.714,7,112,60,7.43,7,67,9.57,7,72,10.29,7,112,67,179,25.57,7,280,40,7,118,16.86,7,90,12.86,7,112,319,0.351,7,146,160,0.912,2026,2026-03-21,57,54,0.5135,NA,NA,23,NA,"Big 12",8,-0.118,12.91,-9.99,40,8.37,8.08,8.39,10.74,1.1816,12.29,2,"v3","Defense Heavy (30/50/20)","2026-03-21"
"VMI",7,84,12,7,100,14.29,7,121,89,210,0.576,7,3,15,0.2,7,11,22,0.5,3,4,0.429,7,84,100,-2.29,7,44,6.29,7,76,10.86,7,84,44,128,18.29,7,219,31.29,7,118,16.86,7,44,6.29,7,84,274,0.307,7,114,147,0.776,2026,2026-03-21,76,98,0.4368,NA,NA,64,NA,"SoCon",8,-3.882,1.79,-13.04,75,-0.61,-8.09,-1.42,-6.64,-0.8629,13.14,67,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Vermont",6,64,10.67,6,64,10.67,6,87,62,149,0.584,6,9,17,0.529,6,9,17,0.471,3,3,0.5,6,64,64,0,6,36,6,6,54,9,6,64,36,100,16.67,6,187,31.17,6,110,18.33,6,57,9.5,6,64,209,0.306,6,120,139,0.863,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,40,NA,"America East",6,1.532,12.91,-6.34,21,-0.52,-0.54,3.79,-0.09,-0.1489,10.67,39,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Villanova",8,77,9.62,8,90,11.25,8,92,102,194,0.474,8,6,23,0.261,8,5,15,0.667,3,5,0.375,8,77,90,-1.62,8,46,5.75,8,78,9.75,8,77,46,123,15.38,8,237,29.62,8,121,15.12,8,81,10.12,8,77,298,0.258,8,157,182,0.863,2026,2026-03-21,63,76,0.4532,NA,NA,44,NA,"Big East",8,0.181,4.13,-9.99,36,-3.12,0.94,-3.17,-1.36,-0.1833,10.43,49,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Virginia",7,98,14,7,86,12.29,7,108,101,209,0.517,7,8,21,0.381,7,7,26,0.731,3,4,0.429,7,98,86,1.71,7,69,9.86,7,66,9.43,7,98,69,167,23.86,7,268,38.29,7,109,15.57,7,85,12.14,7,98,300,0.327,7,139,160,0.869,2026,2026-03-21,48,57,0.4571,13,NA,35,NA,"ACC",8,2.406,11.22,-5.43,10,6.07,0.92,1.84,4.46,0.8544,13.14,13,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Wagner",7,63,9,7,93,13.29,7,63,116,179,0.352,7,7,20,0.35,7,0,8,1,2,5,0.286,7,63,93,-4.29,7,29,4.14,7,87,12.43,7,63,29,92,13.14,7,172,24.57,7,109,15.57,7,57,8.14,7,63,236,0.267,7,130,153,0.85,2026,2026-03-21,72,77,0.4832,NA,NA,66,NA,"NEC",8,-2.716,4.4,-13.04,68,-3.42,0.08,-8.81,-2.43,0.0164,11.14,55,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Yale",6,69,11.5,6,74,12.33,6,75,89,164,0.457,6,5,7,0.714,6,10,14,0.286,3,3,0.5,6,69,74,-0.83,6,42,7,6,69,11.5,6,69,42,111,18.5,6,178,29.67,6,104,17.33,6,51,8.5,6,69,229,0.301,6,108,127,0.85,2026,2026-03-21,62,62,0.5,NA,NA,13,NA,"Ivy League",7,1.919,4.85,-1.17,18,-0.86,-5.94,-2.41,-3.36,0.1595,11.91,58,"v3","Defense Heavy (30/50/20)","2026-03-21"