"Team","RPI_Rank","RPI_Value","RPI_Conf"
"Princeton",1,NA,"Ivy League"
"Syracuse",2,NA,"ACC"
"Notre Dame",3,NA,"ACC"
"Boston U.",4,NA,"Patriot"
"Duke",5,NA,"ACC"
"Richmond",6,NA,"Atlantic 10"
"Johns Hopkins",7,NA,"Big Ten"
"Army West Point",8,NA,"Patriot"
"North Carolina",9,NA,"ACC"
"Harvard",10,NA,"Ivy League"
"Saint Joseph's",11,NA,"Atlantic 10"
"Georgetown",12,NA,"Big East"
"Yale",13,NA,"Ivy League"
"Rutgers",14,NA,"Big Ten"
"Ohio St.",15,NA,"Big Ten"
"Cornell",16,NA,"Ivy League"
"Penn St.",17,NA,"Big Ten"
"Sacred Heart",18,NA,"MAAC"
"Dartmouth",19,NA,"Ivy League"
"Maryland",20,NA,"Big Ten"
"Denver",21,NA,"Big East"
"Navy",22,NA,"Patriot"
"Utah",23,NA,"ASUN"
"Robert Morris",24,NA,"NEC"
"Brown",25,NA,"Ivy League"
"Penn",26,NA,"Ivy League"
"Bellarmine",27,NA,"ASUN"
"LIU",28,NA,"NEC"
"Marquette",29,NA,"Big East"
"Massachusetts",30,NA,"Atlantic 10"
"Towson",31,NA,"CAA"
"Lehigh",32,NA,"Patriot"
"Jacksonville",33,NA,"ASUN"
"Air Force",34,NA,"ASUN"
"Virginia",35,NA,"ACC"
"Holy Cross",36,NA,"Patriot"
"High Point",37,NA,"Atlantic 10"
"Bucknell",38,NA,"Patriot"
"Michigan",39,NA,"Big Ten"
"Vermont",40,NA,"America East"
"Mercer",41,NA,"ASUN"
"Providence",42,NA,"Big East"
"Fairfield",43,NA,"CAA"
"Villanova",44,NA,"Big East"
"Stony Brook",45,NA,"CAA"
"Drexel",46,NA,"CAA"
"Siena",47,NA,"MAAC"
"Lafayette",48,NA,"Patriot"
"UAlbany",49,NA,"America East"
"Loyola Maryland",50,NA,"Patriot"
"Cleveland St.",51,NA,"NEC"
"Marist",52,NA,"MAAC"
"Merrimack",53,NA,"MAAC"
"St. Bonaventure",54,NA,"Atlantic 10"
"Colgate",55,NA,"Patriot"
"NJIT",56,NA,"America East"
"Monmouth",57,NA,"CAA"
"Delaware",58,NA,"Atlantic 10"
"Iona",59,NA,"MAAC"
"Mount St. Mary's",60,NA,"MAAC"
"Hobart",61,NA,"Atlantic 10"
"Binghamton",62,NA,"America East"
"Hofstra",63,NA,"CAA"
"VMI",64,NA,"NEC"
"Queens (NC)",65,NA,"ASUN"
"Wagner",66,NA,"NEC"
"Detroit Mercy",67,NA,"NEC"
"Manhattan",68,NA,"MAAC"
"Le Moyne",69,NA,"NEC"
"UMBC",70,NA,"America East"
"St. John's (NY)",71,NA,"Big East"
"Bryant",72,NA,"America East"
"UMass Lowell",73,NA,"America East"
"Canisius",74,NA,"MAAC"
"Quinnipiac",75,NA,"MAAC"
"Mercyhurst",76,NA,"NEC"
"Hampton",77,NA,"CAA"