"Team","Nickname","Conference","Colors","School_Slug","Logo_URL","ESPNLogo","School_URL","Scraped_Date"
"Air Force","Falcons","Mountain West","Blue & Silver","air-force","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","https://www.ncaa.com/schools/air-force","2026-03-08"
"Army West Point","Black Knights","Patriot League","Black, Gold and Gray","army","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/349.png","https://www.ncaa.com/schools/army","2026-03-08"
"Bellarmine","Knights","Atlantic Sun","Scarlet & Silver","bellarmine","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/91.png","https://www.ncaa.com/schools/bellarmine","2026-03-08"
"Binghamton","Bearcats","America East","Green & Black","binghamton","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png","https://www.ncaa.com/schools/binghamton","2026-03-08"
"Boston U.","Terriers","Patriot League","Scarlet & White","boston-u","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-u.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/104.png","https://www.ncaa.com/schools/boston-u","2026-03-08"
"Brown","Bears","The Ivy League","Brown, Red & White","brown","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/225.png","https://www.ncaa.com/schools/brown","2026-03-08"
"Bryant","Bulldogs","America East","Black & Gold","bryant","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png","https://www.ncaa.com/schools/bryant","2026-03-08"
"Bucknell","Bison","Patriot League","Orange & Blue","bucknell","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png","https://www.ncaa.com/schools/bucknell","2026-03-08"
"Canisius","Golden Griffins","Metro Atlantic Athletic","Blue & Gold","canisius","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/canisius.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2099.png","https://www.ncaa.com/schools/canisius","2026-03-08"
"Cleveland St.","Vikings","Horizon League","Forest Green & White","cleveland-st","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cleveland-st.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/325.png","https://www.ncaa.com/schools/cleveland-st","2026-03-08"
"Colgate","Raiders","Patriot League","Maroon, Gray and White","colgate","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colgate.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png","https://www.ncaa.com/schools/colgate","2026-03-08"
"Cornell","Big Red","The Ivy League","Carnelian Red & White","cornell","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/172.png","https://www.ncaa.com/schools/cornell","2026-03-08"
"Dartmouth","Big Green","The Ivy League","Dartmouth Green and White","dartmouth","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/159.png","https://www.ncaa.com/schools/dartmouth","2026-03-08"
"Delaware","Blue Hens","USA","Blue & Gold","delaware","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/48.png","https://www.ncaa.com/schools/delaware","2026-03-08"
"Denver","Pioneers","The Summit League","Crimson & Gold","denver","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/denver.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2172.png","https://www.ncaa.com/schools/denver","2026-03-08"
"Detroit Mercy","Titans","Horizon League","Red, White & Blue","detroit","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/detroit.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png","https://www.ncaa.com/schools/detroit","2026-03-08"
"Drexel","Dragons","Coastal Athletic Association","Navy Blue & Gold","drexel","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2182.png","https://www.ncaa.com/schools/drexel","2026-03-08"
"Duke","Blue Devils","Atlantic Coast","Duke Blue & White","duke","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png","https://www.ncaa.com/schools/duke","2026-03-08"
"Fairfield","Stags","Metro Atlantic Athletic","Red","fairfield","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fairfield.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2217.png","https://www.ncaa.com/schools/fairfield","2026-03-08"
"Georgetown","Hoyas","BIG EAST","Blue & Gray","georgetown","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/46.png","https://www.ncaa.com/schools/georgetown","2026-03-08"
"Hampton","Pirates","Coastal Athletic Association","Royal Blue & White","hampton","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hampton.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png","https://www.ncaa.com/schools/hampton","2026-03-08"
"Harvard","Crimson","The Ivy League","Crimson, Black & White","harvard","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/harvard.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/108.png","https://www.ncaa.com/schools/harvard","2026-03-08"
"High Point","Panthers","Big South","Purple & White","high-point","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/high-point.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png","https://www.ncaa.com/schools/high-point","2026-03-08"
"Hobart","Statesmen","Liberty League","Purple and Orange","hobart","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hobart.svg","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.usalacrosse.com%2Fsites%2Fdefault%2Ffiles%2F2024-02%2FHobart_Statesmen_primary_logo.svg_.png&f=1&nofb=1&ipt=5cad3044350f56f039690bf02f96ff3f6ea1036c41cb11ddc0eb254c60c85b4f","https://www.ncaa.com/schools/hobart","2026-03-08"
"Hofstra","Pride","Coastal Athletic Association","Gold, White and Blue","hofstra","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hofstra.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2275.png","https://www.ncaa.com/schools/hofstra","2026-03-08"
"Holy Cross","Crusaders","Patriot League","Royal Purple","holy-cross","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/holy-cross.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/107.png","https://www.ncaa.com/schools/holy-cross","2026-03-08"
"Iona","Gaels","Metro Atlantic Athletic","Maroon & Gold","iona","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iona.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/314.png","https://www.ncaa.com/schools/iona","2026-03-08"
"Jacksonville","Dolphins","Atlantic Sun","Green & White","jacksonville","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/294.png","https://www.ncaa.com/schools/jacksonville","2026-03-08"
"Johns Hopkins","Blue Jays","Centennial","Hopkins Blue & Black","johns-hopkins","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/johns-hopkins.svg","https://1000logos.net/wp-content/uploads/2022/07/Johns-Hopkins-University-Logo-Athletics.png","https://www.ncaa.com/schools/johns-hopkins","2026-03-08"
"LIU","Sharks","Northeast","Blue and Gold","long-island","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png","https://www.ncaa.com/schools/long-island","2026-03-08"
"Lafayette","Leopards","Patriot League","Maroon & White","lafayette","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lafayette.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/322.png","https://www.ncaa.com/schools/lafayette","2026-03-08"
"Lehigh","Mountain Hawks","Patriot League","Brown & White","lehigh","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lehigh.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2329.png","https://www.ncaa.com/schools/lehigh","2026-03-08"
"Loyola Maryland","Greyhounds","Patriot League","Green & Grey","loyola-maryland","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-maryland.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png","https://www.ncaa.com/schools/loyola-maryland","2026-03-08"
"Manhattan","Jaspers","Metro Atlantic Athletic","Green & White","manhattan","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/manhattan.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2363.png","https://www.ncaa.com/schools/manhattan","2026-03-08"
"Marist","Red Foxes","Metro Atlantic Athletic","Red & White","marist","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marist.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png","https://www.ncaa.com/schools/marist","2026-03-08"
"Marquette","Golden Eagles","BIG EAST","Blue & Gold","marquette","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marquette.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png","https://www.ncaa.com/schools/marquette","2026-03-08"
"Maryland","Terrapins, Terps","Big Ten","Red, White, Black & Gold","maryland","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png","https://www.ncaa.com/schools/maryland","2026-03-08"
"Massachusetts","Minutemen","Mid-American","Maroon & White","massachusetts","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/113.png","https://www.ncaa.com/schools/massachusetts","2026-03-08"
"Mercer","Bears","Southern","Orange & Black","mercer","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mercer.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png","https://www.ncaa.com/schools/mercer","2026-03-08"
"Merrimack","Warriors","Northeast","Navy Blue, Gold & White","merrimack","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/merrimack.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2748.png","https://www.ncaa.com/schools/merrimack","2026-03-08"
"Michigan","Wolverines","Big Ten","Maize & Blue","michigan","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png","https://www.ncaa.com/schools/michigan","2026-03-08"
"Monmouth","Hawks","Coastal Athletic Association","Midnight Blue & White","monmouth","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png","https://www.ncaa.com/schools/monmouth","2026-03-08"
"Mount St. Mary's","Mountaineers","Metro Atlantic Athletic","Blue & White","mt-st-marys","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-marys.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/116.png","https://www.ncaa.com/schools/mt-st-marys","2026-03-08"
"NJIT","Highlanders","America East","Red & White (Blue Accent)","njit","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/njit.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png","https://www.ncaa.com/schools/njit","2026-03-08"
"Navy","Midshipmen","Patriot League","Navy Blue & Gold","navy","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/navy.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png","https://www.ncaa.com/schools/navy","2026-03-08"
"North Carolina","Tar Heels","Atlantic Coast","Carolina Blue & White","north-carolina","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/153.png","https://www.ncaa.com/schools/north-carolina","2026-03-08"
"Notre Dame","Fighting Irish","Atlantic Coast","Blue & Gold","notre-dame","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/87.png","https://www.ncaa.com/schools/notre-dame","2026-03-08"
"Ohio St.","Buckeyes","Big Ten","Scarlet & Gray","ohio-st","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/194.png","https://www.ncaa.com/schools/ohio-st","2026-03-08"
"Penn","Quakers","The Ivy League","Red & Blue","penn","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/219.png","https://www.ncaa.com/schools/penn","2026-03-08"
"Penn St.","Nittany Lions","Big Ten","Blue & White","penn-st","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/213.png","https://www.ncaa.com/schools/penn-st","2026-03-08"
"Princeton","Tigers","The Ivy League","Orange & Black","princeton","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/princeton.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/163.png","https://www.ncaa.com/schools/princeton","2026-03-08"
"Providence","Friars","BIG EAST","Black, White & Silver","providence","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png","https://www.ncaa.com/schools/providence","2026-03-08"
"Queens (NC)","Royals","Atlantic Sun","Navy Blue and Vegas Gold","queens-nc","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/queens-nc.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2511.png","https://www.ncaa.com/schools/queens-nc","2026-03-08"
"Quinnipiac","Bobcats","Metro Atlantic Athletic","Navy & Gold","quinnipiac","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/quinnipiac.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png","https://www.ncaa.com/schools/quinnipiac","2026-03-08"
"Richmond","Spiders","Atlantic 10","Red & Blue","richmond","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/richmond.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/257.png","https://www.ncaa.com/schools/richmond","2026-03-08"
"Robert Morris","Colonials","Horizon League","Blue & White with Red","robert-morris","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/robert-morris.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png","https://www.ncaa.com/schools/robert-morris","2026-03-08"
"Rutgers","Scarlet Knights","Big Ten","Scarlet","rutgers","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/164.png","https://www.ncaa.com/schools/rutgers","2026-03-08"
"Sacred Heart","Pioneers","Metro Atlantic Athletic","Red & White","sacred-heart","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacred-heart.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png","https://www.ncaa.com/schools/sacred-heart","2026-03-08"
"Saint Joseph's","Hawks","Atlantic 10","Crimson & Gray","saint-josephs","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-josephs.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png","https://www.ncaa.com/schools/saint-josephs","2026-03-08"
"Siena","Saints","Metro Atlantic Athletic","Green & Gold","siena","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/siena.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png","https://www.ncaa.com/schools/siena","2026-03-08"
"St. Bonaventure","Bonnies","Atlantic 10","Brown & White","st-bonaventure","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/179.png","https://www.ncaa.com/schools/st-bonaventure","2026-03-08"
"St. John's (NY)","Red Storm","BIG EAST","Red & White","st-johns-ny","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png","https://www.ncaa.com/schools/st-johns-ny","2026-03-08"
"Stony Brook","Seawolves","Coastal Athletic Association","Red, White, Blue","stony-brook","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stony-brook.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/284.png","https://www.ncaa.com/schools/stony-brook","2026-03-08"
"Syracuse","Orange","Atlantic Coast","Orange","syracuse","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png","https://www.ncaa.com/schools/syracuse","2026-03-08"
"Towson","Tigers","Coastal Athletic Association","Black, Gold & White","towson","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/119.png","https://www.ncaa.com/schools/towson","2026-03-08"
"UAlbany","Great Danes","America East","Purple & Gold","albany-ny","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/399.png","https://www.ncaa.com/schools/albany-ny","2026-03-08"
"UMBC","Retrievers","America East","Black & Gold","umbc","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png","https://www.ncaa.com/schools/umbc","2026-03-08"
"UMass Lowell","River Hawks","America East","Blue, White and Red","umass-lowell","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-lowell.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2349.png","https://www.ncaa.com/schools/umass-lowell","2026-03-08"
"Utah","Utes","Big 12","Red & White","utah","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/254.png","https://www.ncaa.com/schools/utah","2026-03-08"
"VMI","Keydets","Southern","Red, White, Yellow","vmi","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vmi.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png","https://www.ncaa.com/schools/vmi","2026-03-08"
"Vermont","Catamounts","America East","Green & Gold","vermont","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vermont.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/261.png","https://www.ncaa.com/schools/vermont","2026-03-08"
"Villanova","Wildcats","BIG EAST","Blue and White","villanova","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/222.png","https://www.ncaa.com/schools/villanova","2026-03-08"
"Virginia","Cavaliers","Atlantic Coast","Orange & Blue","virginia","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/258.png","https://www.ncaa.com/schools/virginia","2026-03-08"
"Wagner","Seahawks","Northeast","Green & White","wagner","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wagner.svg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2681.png","https://www.ncaa.com/schools/wagner","2026-03-08"
"Yale","Elis, Bulldogs","The Ivy League","Yale Blue & White","yale","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/yale.svg","https://a.espncdn.com/i/teamlogos/ncaa/500/43.png","https://www.ncaa.com/schools/yale","2026-03-08"